case,node_id,label,type,source
CDO,U,Upper CDO,source,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources."
CDO,T,Tumalaong,source,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources."
CDO,B,Bubunawan,source,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources."
CDO,L,Connected lower laterals,source,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources."
CDO,J0,Tumalaong junction,connection_or_boundary,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources."
CDO,J1,Bubunawan junction,connection_or_boundary,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources."
CDO,R,Lower CDO receiving corridor,probe,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources."
CDO,O,Macajalar Bay boundary,connection_or_boundary,"CDO report pp. 2-3, 11-12: named confluence order and independent B1-B4 sources."
MANADO,U,Upper Tondano / lake inflow,source,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics."
MANADO,T,Tikala,source,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics."
MANADO,L,Lower connected laterals,source,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics."
MANADO,S0,Lake Tondano control,routing_storage,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics."
MANADO,S1,Hydropower control,connection_or_boundary,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics."
MANADO,S2,Kuwil-Kawangkoan control,routing_storage,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics."
MANADO,J0,Tondano-Tikala junction,connection_or_boundary,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics."
MANADO,R,Lower Manado receiver,probe,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics."
MANADO,O,Manado Bay boundary,connection_or_boundary,"Manado report pp. 3, 5, 12, 19: separate mainstem/Tikala, conceptual control sequence and topology metrics."
KURANJI,K,Kuranji base,source,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network."
KURANJI,B,Belimbing,source,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network."
KURANJI,S,Sungkai,source,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network."
KURANJI,J,Janiah / Karuah,source,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network."
KURANJI,M,Limau Manih,source,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network."
KURANJI,Z,Unresolved middle confluence ZONE,connection_or_boundary,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network."
KURANJI,R,Lower Kuranji receiver,probe,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network."
KURANJI,O,Indian Ocean boundary,connection_or_boundary,"Kuranji report pp. 1-3, 7, 13, 21: five-subbasin partition and conceptual confluence network."
HUE,T,Ta Trach,source,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,H,Huu Trach,source,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,B,Bo,source,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
HUE,L,Downstream residual runoff,source,"Huong report pp. 3, 6, 10-12, 22: Tuan-Hue-Sinh sequence, three control nodes, lagoon/inlet system."
